Log_Interval,10000,  uSec,,,,,,,,
Start,2023-07-26, 00:01:44,,,,,,,,
rec no,Acc x, Acc y, Acc z, Gyr x, Gyr y, Gyr z,Bat Cur.,Bat Volt,,
17243,-9.97,0.13,0.15,0.02,0.01,0.01,129,10,,
17244,-9.98,0.12,0.13,0.01,0.01,0.01,125,16,,
17245,-9.99,0.13,0.16,0.02,0.01,0.01,134,13,,
17246,-9.98,0.14,0.15,0.02,0,0.01,129,15,,
17247,-9.98,0.15,0.16,0.02,0.01,0.01,132,13,,
17248,-9.94,0.14,0.15,0.02,0.01,0.01,131,14,,
17249,-9.96,0.14,0.13,0.01,0.01,0.01,136,13,,
17250,-9.98,0.12,0.16,0.02,0.01,0.01,130,14,,
17251,-9.99,0.14,0.13,0.02,0.01,0.01,139,14,,
17252,-10,0.14,0.15,0.02,0.01,0.01,129,14,,
17253,-9.95,0.12,0.15,0.02,0.01,0.01,133,11,,
17254,-9.98,0.14,0.15,0.02,0,0.01,122,16,,
17255,-9.98,0.14,0.17,0.02,0.01,0.01,134,13,,
17256,-9.98,0.14,0.13,0.02,0.01,0.01,125,13,,
17257,-9.99,0.14,0.15,0.02,0.01,0.01,137,15,,
17258,-9.97,0.14,0.15,0.02,0.01,0.01,127,14,,
17259,-9.99,0.14,0.22,0.02,0.01,0.01,134,15,,
17260,-9.99,0.13,0.16,0.01,0.01,0.01,121,15,,
17261,-9.98,0.13,0.15,0.02,0.01,0.01,134,16,,
17262,-9.98,0.29,0.22,0.02,0,0.01,128,13,,
17263,-9.96,0.13,0.13,0.01,0.01,0.01,133,16,,
17264,-9.96,0.13,0.17,0.02,0.01,0.01,125,13,,
17265,-9.97,0.14,0.22,0.02,0.01,0.01,143,15,,
17266,-9.98,0.13,0.15,0.02,0,0.01,123,14,,
17267,-9.98,0.14,0.15,0.01,0.01,0.01,138,17,,
17268,-9.98,0.15,0.22,0.02,0.01,0.01,120,13,,
17269,-9.98,0.14,0.13,0.02,0.01,0.01,136,17,,
17270,-10,0.12,0.15,0.02,0.01,0.01,124,13,,
17271,-10.11,0.14,0.2,0.02,0.01,0.01,143,21,,
17272,-9.99,0.14,0.15,0.02,0.01,0.01,118,13,,
17273,-10,0.13,0.16,0.02,0.01,0.01,137,18,,
17274,-9.98,0.13,0.22,0.02,0.01,0.01,119,13,,
17275,-9.99,0.16,0.16,0.02,0.01,0.01,144,19,,
17276,-9.98,0.13,0.15,0.02,0.01,0.01,120,13,,
17277,-9.97,0.14,0.08,0.02,0.01,0,138,21,,
17278,-9.99,0.15,0.13,0.02,0.01,0.01,121,11,,
17279,-9.99,0.14,0.3,0.01,0.01,0.01,145,20,,
17280,-9.98,0.14,0.16,0.02,0.01,0.01,121,12,,
17281,-10,0.13,0.16,0.02,0.01,0.01,137,21,,
17282,-9.96,0.13,0,0.02,0.01,0.01,125,11,,
17283,-9.96,0.12,0.12,0.02,0,0,145,20,,
17284,-9.99,0.14,0.16,0.02,0.01,0.01,116,12,,
17285,-9.98,0.14,0.18,0.02,0,0.01,139,22,,
17286,-9.97,0.13,0.17,0.02,0.01,0.01,120,12,,
17287,-9.99,0.15,0.14,0.02,0.01,0.01,142,23,,
17288,-9.99,0.13,0.21,0.02,0.01,0.01,121,9,,
17289,-9.97,0.15,0.17,0.02,0.01,0.01,137,23,,
17290,-10.02,0.14,0.17,0.02,0.01,0.01,119,9,,
17291,-9.99,0.15,0.12,0.02,0.01,0.01,146,22,,
17292,-9.98,0.15,0.13,0.02,0.01,0.01,124,14,,
17293,-9.99,0.13,0.13,0.01,0.01,0.01,145,23,,
17294,-9.97,0.14,0.17,0.02,0.01,0.01,118,10,,
17295,-9.98,0.14,0.16,0.02,0.01,0,140,21,,
17296,-9.99,0.13,0.17,0.02,0.01,0.01,124,14,,
17297,-9.99,0.15,0.12,0.02,0.01,0.01,137,22,,
17298,-9.97,0.14,0.12,0.02,0.01,0.01,123,9,,
17299,-9.98,0.14,0.15,0.02,0.01,0.01,139,23,,
17300,-9.99,0.14,0.2,0.02,0.01,0.01,126,11,,
17301,-9.99,0.15,0.15,0.02,0.01,0.01,143,23,,
17302,-9.98,0.14,0.17,0.02,0.01,0.01,124,11,,
17303,-9.99,0.14,0.11,0.02,0.01,0.01,140,23,,
17304,-9.98,0.12,0.15,0.02,0.01,0.01,125,12,,
17305,-9.99,0.13,0.15,0.02,0.01,0.01,139,23,,
17306,-9.98,0.15,0.17,0.02,0.01,0.01,124,9,,
17307,-9.96,0.15,0.15,0.02,0,0.01,137,23,,
17308,-9.98,0.15,0.13,0.02,0.01,0.01,118,12,,
17309,-9.98,0.14,0.14,0.02,0,0.01,140,23,,
17310,-9.99,0.14,0.17,0.02,0.01,0.01,118,13,,
17311,-9.98,0.15,0.01,0.02,0.01,0.01,138,25,,
17312,-9.97,0.14,0.15,0.01,0.01,0.01,124,9,,
17313,-9.99,0.15,0.17,0.02,0.01,0.01,146,24,,
17314,-9.98,0.12,0.17,0.02,0.01,0,119,8,,
17315,-9.97,0.14,0.2,0.02,0.01,0.01,139,23,,
17316,-9.96,0.14,0.17,0.02,0.01,0.01,117,10,,
17317,-9.98,0.13,0.12,0.02,0,0.01,141,23,,
17318,-9.97,0.13,0.15,0.01,0.01,0.01,118,12,,
17319,-9.97,0.14,0.14,0.02,0.01,0.01,143,24,,
17320,-9.98,0.14,0.13,0.01,0.01,0.01,117,9,,
17321,-9.97,0.14,0.14,0.02,0.01,0.01,138,25,,
17322,-9.97,0.15,0.17,0.02,0.01,0.01,126,10,,
17323,-9.99,0.14,0.17,0.02,0.01,0.01,139,25,,
17324,-10,0.14,0.17,0.02,0.01,0.01,122,8,,
17325,-9.98,0.15,0.14,0.02,0.01,0.01,146,22,,
17326,-9.99,0.15,0.2,0.02,0.01,0.01,125,12,,
17327,-9.99,0.14,0.14,0.02,0.01,0.01,139,22,,
17328,-9.97,0.13,0.15,0.02,0.01,0.01,118,10,,
17329,-9.98,0.14,0.17,0.02,0.01,0.01,142,22,,
17330,-9.98,0.14,0.17,0.02,0.01,0.01,125,10,,
17331,-9.98,0.13,0.15,0.02,0,0.01,135,25,,
17332,-9.99,0.12,0.16,0.01,0.01,0.01,121,8,,
17333,-9.98,0.15,0.15,0.01,0,0.01,139,23,,
17334,-9.97,0.15,0.13,0.02,0.01,0.01,127,10,,
17335,-9.97,0.12,0.19,0.01,0.01,0.01,141,25,,
17336,-9.96,0.13,0.14,0.01,0,0.01,126,9,,
17337,-9.97,0.15,0.15,0.02,0.01,0.01,138,22,,
17338,-9.96,0.16,0.13,0.02,0.01,0,120,8,,
17339,-9.99,0.15,0.17,0.02,0.01,0.01,136,24,,
17340,-9.99,0.15,0.02,0.01,0.01,0.01,121,7,,
17341,-9.98,0.15,0.18,0.01,0.01,0.01,134,21,,
17342,-9.98,0.13,0.16,0.02,0.01,0.01,121,9,,
17343,-10.01,0.15,0,0.02,0,0.01,137,23,,
17344,-9.99,0.15,0.13,0.02,0.01,0.01,121,9,,
17345,-9.99,0.15,0.15,0.02,0.01,0.01,138,20,,
17346,-9.98,0.14,0.23,0.02,0.01,0.01,125,7,,
17347,-9.98,0.13,0.18,0.02,0.01,0.01,140,21,,
17348,-9.98,0.13,0.15,0.02,0.01,0.01,129,7,,
17349,-9.96,0.13,0.1,0.02,0.01,0.01,138,21,,
17350,-9.99,0.15,0.14,0.01,0.01,0.01,125,7,,
17351,-9.97,0.14,0.15,0.01,0.01,0.01,131,21,,
17352,-9.95,0.11,0.19,0.02,0.01,0.01,122,10,,
17353,-9.98,0.15,0.2,0.02,0.01,0.01,132,18,,
17354,-9.98,0.15,0.16,0.02,0.01,0.01,122,8,,
17355,-9.99,0.11,0.12,0.02,0.01,0.01,131,20,,
17356,-9.96,0.14,0.14,0.02,0.01,0.01,127,8,,
17357,-10,0.14,0.15,0.02,0.01,0,136,18,,
17358,-9.99,0.12,0.14,0.02,0.01,0.01,124,6,,
17359,-10.01,0.14,0.15,0.02,0.01,0.01,135,18,,
17360,-10,0.13,0.14,0.02,0.01,0.01,123,6,,
17361,-10,0.15,0.12,0.01,0.01,0.01,139,17,,
17362,-10,0.14,0.16,0.02,0.01,0.01,131,9,,
17363,-9.98,0.13,0.14,0.02,0.01,0.01,131,19,,
17364,-9.99,0.14,0.14,0.02,0.01,0.01,128,5,,
17365,-9.98,0.14,0.17,0.02,0.01,0.01,133,17,,
17366,-9.98,0.13,0.16,0.01,0.01,0.01,125,5,,
17367,-9.99,0.15,0.19,0.01,0.01,0.01,129,18,,
17368,-9.97,0.14,0.16,0.01,0.01,0.01,134,6,,
17369,-9.99,0.14,0.18,0.01,0.01,0.01,135,17,,
17370,-9.97,0.14,0.13,0.01,0.01,0.01,126,6,,
17371,-9.98,0.14,0.16,0.01,0.01,0.01,130,16,,
17372,-10,0.13,0,0.02,0.01,0.01,127,8,,
17373,-9.97,0.13,0.14,0.02,0.01,0.01,132,16,,
17374,-9.98,0.14,0.18,0.02,0.01,0.01,129,10,,
17375,-9.97,0.16,0.01,0.02,0,0,134,17,,
17376,-9.97,0.16,0.16,0.02,0.01,0.01,134,8,,
17377,-9.98,0.14,0.15,0.02,0.01,0.01,126,16,,
17378,-9.98,0.13,0.19,0.02,0.01,0.01,130,10,,
17379,-9.96,0.14,0.18,0.02,0.01,0.01,126,15,,
17380,-9.98,0.17,0.16,0.01,0.01,0.01,128,10,,
17381,-9.96,0.14,0.18,0.02,0.01,0.01,133,17,,
17382,-9.99,0.15,0.15,0.02,0.01,0.01,129,10,,
17383,-9.97,0.13,0.16,0.02,0.01,0.01,125,14,,
17384,-9.97,0.12,0.12,0.02,0.01,0.01,135,9,,
17385,-9.95,0.15,0.16,0.02,0,0.01,128,15,,
17386,-9.97,0.13,0.15,0.02,0.01,0,129,10,,
17387,-9.97,0.12,0.12,0.02,0.01,0.01,124,16,,
17388,-9.99,0.15,0.15,0.02,0.01,0.01,133,11,,
17389,-9.99,0.14,0.15,0.02,0.01,0.01,131,15,,
17390,-9.97,0.14,0.11,0.02,0.01,0.01,137,10,,
17391,-10.02,0.13,0.14,0.02,0,0.01,126,14,,
17392,-9.97,0.13,0.14,0.02,0.01,0.01,138,11,,
17393,-9.98,0.12,0.11,0.02,0.01,0.01,125,15,,
17394,-9.98,0.13,0.16,0.02,0.01,0.01,130,13,,
17395,-9.96,0.15,0.3,0.02,0.01,0.01,129,14,,
17396,-9.98,0.13,0.18,0.01,0.01,0.01,133,11,,
17397,-9.98,0.13,0.18,0.02,0.01,0.01,128,15,,
17398,-9.97,0.14,0.15,0.02,0.01,0.01,130,12,,
17399,-9.98,0.14,0.16,0.02,0.01,0.01,121,13,,
17400,-9.98,0.12,0.13,0.02,0,0.01,141,11,,
17401,-9.99,0.14,0.14,0.02,0.01,0.01,122,13,,
17402,-10,0.12,0.15,0.02,0.01,0.01,137,13,,
17403,-9.97,0.14,0.18,0.02,0.01,0.01,129,13,,
17404,-9.98,0.15,0.18,0.02,0.01,0.01,132,12,,
17405,-9.98,0.13,0.18,0.02,0.01,0.01,124,13,,
17406,-9.98,0.13,0.16,0.02,0.01,0.01,133,15,,
17407,-9.98,0.14,0.14,0.02,0,0.01,121,14,,
17408,-9.99,0.12,0.15,0.01,0.01,0.01,141,14,,
17409,-9.96,0.13,0.17,0.02,0.01,0.01,125,13,,
17410,-9.97,0.15,0.17,0.01,0,0.01,140,15,,
17411,-9.98,0.14,0.17,0.02,0.01,0.01,126,12,,
17412,-9.96,0.11,0.14,0.01,0.01,0.01,138,15,,
17413,-9.98,0.3,0.16,0.02,0.01,0.01,123,12,,
17414,-9.99,0.16,0.15,0.02,0.01,0.01,137,19,,
17415,-9.97,0.12,0.15,0.02,0.01,0.01,126,13,,
17416,-9.98,0.15,0.14,0.02,0,0.01,143,18,,
17417,-9.99,0.14,0.17,0.02,0.01,0.01,128,12,,
17418,-9.99,0.14,0.15,0.02,0.01,0.01,140,17,,
17419,-9.96,0.12,0.1,0.02,0.01,0.01,126,13,,
17420,-9.95,0.16,0.17,0.02,0.01,0.01,137,21,,
17421,-9.97,0.14,0.14,0.02,0.01,0.01,128,12,,
17422,-9.97,0.14,0.09,0.02,0.01,0.01,138,18,,
17423,-9.98,0.15,0.13,0.02,0.01,0.01,119,12,,
17424,-9.97,0.14,0.16,0.02,0.01,0.01,138,18,,
17425,-9.98,0.12,0.15,0.01,0.01,0.01,120,12,,
17426,-10,0.14,0.14,0.02,0.01,0.01,138,20,,
17427,-9.99,0.13,0.15,0.02,0.01,0.01,127,12,,
17428,-9.96,0.16,0.1,0.02,0.01,0.01,145,21,,
17429,-9.99,0.14,0.16,0.02,0.01,0.01,124,12,,
17430,-9.98,0.14,0.18,0.01,0,0.01,142,20,,
17431,-9.99,0.12,0.16,0.02,0,0.01,117,13,,
17432,-9.99,0.11,0.16,0.02,0,0.01,145,22,,
17433,-9.99,0.13,0.14,0.02,0.01,0.01,126,11,,
17434,-9.98,0.13,0.15,0.02,0.01,0.01,137,21,,
17435,-9.98,0.14,0.14,0.01,0.01,0.01,121,12,,
17436,-9.97,0.13,0.12,0.02,0,0.01,137,23,,
17437,-9.98,0.15,0.13,0.02,0.01,0,126,11,,
17438,-9.98,0.14,0.15,0.02,0.01,0.01,146,21,,
17439,-9.97,0.12,0.13,0.01,0.01,0.01,123,11,,
17440,-9.96,0.14,0.16,0.02,0.01,0.01,146,22,,
17441,-9.96,0.15,0.15,0.02,0.01,0.01,125,10,,
17442,-9.99,0.14,0.23,0.01,0.01,0.01,138,24,,
17443,-9.97,0.15,0.16,0.02,0.01,0.01,125,11,,
17444,-9.97,0.14,0.14,0.02,0,0.01,138,21,,
17445,-9.95,0.14,0.18,0.02,0.01,0.01,124,10,,
17446,-9.99,0.13,0.17,0.02,0.01,0.01,146,24,,
17447,-9.97,0.14,0.14,0.02,0,0.01,119,9,,
17448,-9.98,0.14,0.1,0.02,0.01,0.01,144,22,,
17449,-9.96,0.15,0.15,0.02,0.01,0.01,115,10,,
17450,-9.96,0.13,0.01,0.02,0.01,0.01,144,22,,
17451,-9.84,0.14,0.12,0.02,0,0.01,118,11,,
17452,-9.98,0.12,0.16,0.01,0.01,0.01,140,22,,
17453,-9.98,0.14,0.29,0.02,0.01,0.01,126,9,,
17454,-9.98,0.14,0.15,0.02,0.01,0.01,137,22,,
17455,-9.98,0.12,0.15,0.02,0.01,0.01,125,10,,
17456,-10,0.13,0.21,0.02,0.01,0.01,143,23,,
17457,-10,0.14,0.2,0.02,0.01,0.01,124,11,,
17458,-9.99,0.13,0.17,0.02,0.01,0.01,143,25,,
17459,-9.98,0.13,0.16,0.02,0.01,0.01,126,11,,
17460,-9.98,0.13,0.16,0.02,0.01,0.01,142,25,,
17461,-9.98,0.12,0.14,0.02,0,0,126,11,,
17462,-9.98,0.14,0.18,0.02,0.01,0.01,137,25,,
17463,-9.99,0.14,0.14,0.02,0,0.01,119,12,,
17464,-10,0.15,0.16,0.02,0,0.01,139,23,,
17465,-9.97,0.15,0.11,0.02,0.01,0.01,122,11,,
17466,-9.96,0.14,0.12,0.02,0.01,0.01,138,25,,
17467,-9.98,0.13,0.17,0.02,0.01,0.01,126,10,,
17468,-9.98,0.16,0.14,0.02,0,0.01,139,25,,
17469,-9.99,0.15,0.16,0.01,0.01,0.01,125,11,,
17470,-9.97,0.15,0.16,0.02,0.01,0.01,145,26,,
17471,-9.98,0.14,0.17,0.02,0.01,0.01,122,8,,
17472,-9.98,0.13,0.17,0.01,0.01,0.01,138,23,,
17473,-9.96,0.13,0.16,0.02,0.01,0.01,119,10,,
17474,-9.98,0.13,0.15,0.02,0.01,0.01,141,24,,
17475,-9.96,0.14,0.16,0.02,0.01,0.01,125,10,,
17476,-9.98,0.13,0.3,0.02,0.01,0.01,136,23,,
17477,-10,0.14,0.18,0.01,0,0.01,122,10,,
17478,-9.96,0.12,0.16,0.02,0.01,0.01,137,26,,
17479,-9.98,0.13,0.17,0.02,0,0,125,10,,
17480,-9.98,0.15,0.21,0.02,0,0.01,137,23,,
17481,-9.96,0.15,0.16,0.02,0.01,0.01,119,9,,
17482,-9.98,0.13,0.1,0.02,0,0.01,139,22,,
17483,-9.96,0.15,0.16,0.01,0.01,0,124,8,,
17484,-9.98,0.13,0.16,0.02,0.01,0.01,145,23,,
17485,-9.98,0.13,0.16,0.02,0,0.01,122,8,,
17486,-9.97,0.14,0.16,0.01,0.01,0.01,136,22,,
17487,-9.99,0.17,0.16,0.02,0.01,0.01,124,9,,
17488,-9.99,0.14,0.19,0.02,0,0.01,140,24,,
17489,-9.99,0.12,0.17,0.02,0.01,0.01,123,9,,
17490,-10,0.12,0.19,0.02,0.01,0.01,142,23,,
17491,-9.99,0.12,0.16,0.01,0,0.01,127,9,,
17492,-10,0.13,0.13,0.02,0.01,0,141,21,,
17493,-9.98,0.13,0.15,0.02,0.01,0.01,120,7,,
17494,-9.99,0.13,0.16,0.02,0.01,0.01,139,23,,
17495,-9.97,0.12,0.15,0.02,0.01,0.01,123,9,,
17496,-9.96,0.14,0.16,0.02,0,0.01,135,24,,
17497,-9.96,0.11,0.13,0.02,0.01,0.01,126,9,,
17498,-9.99,0.12,0.14,0.02,0,0.01,143,20,,
17499,-9.99,0.14,0.17,0.02,0.01,0.01,128,8,,
17500,-9.98,0.16,0.19,0.02,0.01,0.01,141,21,,
17501,-9.96,0.14,0.14,0.01,0.01,0.01,128,8,,
17502,-9.98,0.14,0.14,0.02,0,0.01,134,21,,
17503,-9.97,0.13,0.18,0.01,0.01,0.01,129,7,,
17504,-9.98,0.13,0.17,0.02,0,0,132,21,,
17505,-9.96,0.15,0.18,0.02,0.01,0.01,123,8,,
17506,-9.99,0.14,0.17,0.01,0.01,0.01,139,21,,
17507,-9.98,0.12,0.15,0.02,0.01,0.01,127,6,,
17508,-9.99,0.13,0.17,0.02,0.01,0.01,135,18,,
17509,-10.02,0.13,0.19,0.01,0.01,0,130,8,,
17510,-9.99,0.12,0.16,0.02,0.01,0.01,138,21,,
17511,-9.99,0.13,0.13,0.02,0.01,0.01,122,7,,
17512,-9.98,0.12,0.18,0.02,0,0.01,139,19,,
17513,-9.98,0.12,0.13,0.02,0,0.01,124,5,,
17514,-9.99,0.13,0.21,0.02,0.01,0.01,132,19,,
17515,-10,0.16,0.19,0.01,0.01,0.01,124,8,,
17516,-10.01,0.12,0.17,0.02,0,0.01,136,19,,
17517,-9.98,0.13,0.19,0.02,0,0.01,127,7,,
17518,-9.98,0.13,0.17,0.02,0,0.01,128,17,,
17519,-9.97,0.14,0.16,0.02,0,0.01,126,9,,
17520,-9.99,0.14,0.16,0.02,0.01,0.01,129,18,,
17521,-10,0.12,0.15,0.02,0,0.01,125,9,,
17522,-9.98,0.13,0.15,0.02,0.01,0,137,16,,
17523,-9.96,0.13,0.13,0.02,0.01,0.01,124,9,,
17524,-9.99,0.13,0.13,0.02,0,0.01,131,16,,
17525,-9.96,0.13,0.13,0.01,0.01,0.01,132,9,,
17526,-9.99,0.3,0.19,0.02,0.01,0.01,134,16,,
17527,-9.97,0.13,0.13,0.02,0,0.01,130,7,,
17528,-9.96,0.14,0.16,0.02,0,0.01,127,16,,
17529,-9.97,0.13,0.2,0.02,0.01,0.01,133,7,,
17530,-9.97,0.13,0.17,0.01,0.01,0.01,130,16,,
17531,-9.98,0.14,0.15,0.02,0,0.01,132,9,,
17532,-9.99,0.14,0.12,0.02,0,0.01,127,15,,
17533,-9.98,0.13,0.14,0.02,0.01,0.01,135,9,,
17534,-10.01,0.14,0.18,0.02,0.01,0.01,130,17,,
17535,-9.97,0.15,0.2,0.02,0.01,0.01,132,8,,
17536,-9.97,0.15,0.16,0.02,0.01,0.01,125,15,,
17537,-9.95,0.13,0.17,0.01,0.01,0.01,134,11,,
17538,-9.98,0.15,0.16,0.02,0,0.01,124,16,,
17539,-10,0.14,0.13,0.02,0,0.01,129,11,,
17540,-9.98,0.12,0.3,0.01,0.01,0.01,133,16,,
17541,-10,0.12,0.17,0.02,0,0.01,127,9,,
17542,-9.95,0.14,0.16,0.02,0.01,0.01,131,14,,
17543,-9.98,0.15,0.3,0.02,0.01,0.01,134,12,,
17544,-9.82,0.14,0.15,0.02,0.01,0.01,124,16,,
17545,-9.99,0.14,0.14,0.02,0,0.01,131,10,,
17546,-10.01,0.13,0.3,0.02,0.01,0.01,127,15,,
17547,-9.99,0.14,0.18,0.02,0,0.01,132,12,,
17548,-9.98,0.13,0.14,0.02,0.01,0.01,123,13,,
17549,-9.98,0.14,0,0.02,0.01,0.01,140,12,,
17550,-9.99,0.13,0.12,0.02,0,0.01,129,12,,
17551,-9.99,0.14,0.15,0.02,0.01,0.01,133,12,,
17552,-9.98,0.14,0.19,0.02,0.01,0.01,126,14,,
17553,-9.98,0.13,0.16,0.02,0.01,0.01,139,13,,
17554,-9.97,0.15,0.15,0.01,0,0.01,127,14,,
17555,-9.96,0.14,0.12,0.02,0.01,0.01,130,13,,
17556,-9.98,0.11,0.15,0.02,0,0.01,129,16,,
17557,-9.96,0.16,0.15,0.02,0.01,0.01,135,15,,
17558,-9.99,0.13,0.12,0.02,0.01,0.01,121,12,,
17559,-9.96,0.14,0.13,0.02,0.01,0.01,136,14,,
17560,-9.99,0.14,0.16,0.02,0.01,0.01,129,10,,
17561,-9.98,0,0.12,0.02,0.01,0.01,136,15,,
17562,-9.97,0.14,0.14,0.02,0,0.01,123,12,,
17563,-9.98,0.13,0.14,0.02,0.01,0.01,141,16,,
17564,-9.98,0.12,0.16,0.01,0.01,0.01,122,12,,
17565,-9.98,0.13,0.14,0.02,0.01,0.01,142,17,,
17566,-9.98,0.13,0.15,0.02,0.01,0.01,124,14,,
17567,-9.98,0.13,0.15,0.02,0.01,0.01,144,18,,
17568,-9.99,0.12,0.17,0.02,0.01,0.01,127,12,,
17569,-9.99,0.13,0.17,0.02,0.01,0.01,136,19,,
17570,-9.97,0.15,0.19,0.02,0.01,0.01,120,13,,
17571,-9.97,0.16,0.15,0.02,0.01,0.01,143,19,,
17572,-9.99,0.14,0.16,0.02,0.01,0.01,128,12,,
17573,-9.99,0.14,0.17,0.02,0,0.01,136,19,,
17574,-9.97,0.13,0.17,0.02,0.01,0.01,126,12,,
17575,-9.99,0.13,0.16,0.01,0.01,0.01,145,18,,
17576,-9.99,0.14,0.15,0.02,0.01,0.01,126,11,,
17577,-9.95,0.13,0.16,0.02,0.01,0.01,141,21,,
17578,-9.98,0.14,0.18,0.02,0.01,0.01,121,10,,
17579,-9.95,0.14,0.14,0.02,0.01,0.01,138,20,,
17580,-9.99,0.13,0.17,0.01,0.01,0.01,126,12,,
17581,-9.96,0.12,0.14,0.02,0.01,0.01,145,19,,
17582,-9.95,0.15,0.15,0.02,0.01,0.01,118,11,,
17583,-9.97,0.13,0.16,0.02,0.01,0.01,139,20,,
17584,-9.97,0.13,0.15,0.02,0.01,0,119,11,,
17585,-9.98,0.11,0.16,0.02,0.01,0.01,140,22,,
17586,-9.98,0.13,0.15,0.02,0,0.01,117,12,,
17587,-9.99,0.13,0.13,0.02,0,0.01,140,21,,
17588,-9.99,0.13,0.14,0.02,0,0.01,119,10,,
17589,-9.97,0.13,0.16,0.02,0,0.01,138,21,,
17590,-9.99,0.13,0.14,0.02,0.01,0.01,118,10,,
17591,-9.95,0.13,0.16,0.02,0.01,0.01,146,21,,
17592,-9.97,0.14,0.14,0.02,0.01,0.01,126,10,,
17593,-10,0.11,0.16,0.02,0.01,0.01,142,26,,
17594,-9.99,0.14,0.15,0.02,0,0.01,119,10,,
17595,-9.96,0.13,0.15,0.02,0,0.01,146,23,,
17596,-9.96,0.15,0.16,0.01,0,0.01,125,11,,
17597,-9.98,0.14,0.14,0.01,0.01,0.01,147,24,,
17598,-9.97,0.14,0.14,0.01,0,0.01,122,9,,
17599,-9.84,0.14,0.14,0.02,0,0,146,24,,
17600,-10,0.13,0.16,0.02,0,0.01,116,10,,
17601,-10.01,0.13,0.02,0.02,0.01,0.01,145,23,,
17602,-9.97,0.12,0.14,0.02,0.01,0.01,126,9,,
17603,-9.99,0.14,0.15,0.02,0.01,0.01,142,24,,
17604,-9.97,0.13,0.17,0.02,0.01,0.01,121,9,,
17605,-9.96,0.14,0.17,0.02,0.01,0.01,147,22,,
17606,-9.98,0.14,0.16,0.02,0,0.01,119,9,,
17607,-9.96,0.13,0.08,0.02,0.01,0,141,22,,
17608,-9.98,0.15,0.18,0.02,0.01,0.01,125,9,,
17609,-9.95,0.13,0.14,0.02,0,0.01,145,26,,
17610,-9.99,0.29,0.14,0.01,0,0,122,10,,
17611,-9.96,0.13,0.15,0.02,0,0.01,142,23,,
17612,-9.98,0.13,0.16,0.02,0.01,0.01,123,10,,
17613,-9.98,0.14,0.11,0.02,0.01,0.01,144,26,,
17614,-9.98,0.14,0.13,0.02,0.01,0.01,125,11,,
17615,-10,0.15,0.14,0.02,0.01,0.01,142,23,,
17616,-10,0.15,0.19,0.02,0.01,0.01,120,8,,
17617,-9.97,0.16,0.14,0.02,0.01,0.01,142,26,,
17618,-9.98,0.14,0.16,0.01,0.01,0.01,118,11,,
17619,-9.99,0.14,0.18,0.02,0.01,0.01,147,25,,
17620,-9.99,0.14,0.18,0.02,0.01,0.01,125,11,,
17621,-9.96,0.13,0.16,0.01,0.01,0.01,145,24,,
17622,-9.83,0.14,0.11,0.01,0.01,0.01,125,9,,
17623,-9.99,0.14,0.14,0.02,0.01,0.01,146,25,,
17624,-9.99,0.14,0.14,0.02,0.01,0.01,120,9,,
17625,-9.98,0.14,0.2,0.02,0.01,0,137,25,,
17626,-10,0.15,0.15,0.02,0.01,0.01,119,8,,
17627,-10,0.14,0,0.02,0.01,0.01,145,23,,
17628,-10.01,0.12,0.16,0.02,0,0.01,120,8,,
17629,-9.97,0.14,0.15,0.02,0.01,0.01,143,25,,
17630,-9.97,0.13,0.17,0.02,0.01,0.01,125,11,,
17631,-9.98,0.14,0.18,0.01,0.01,0.01,139,22,,
17632,-10.02,0.12,0.16,0.02,0.01,0.01,119,10,,
17633,-10,0.13,0.15,0.02,0.01,0.01,137,23,,
17634,-9.97,0.13,0.14,0.02,0.01,0.01,124,8,,
17635,-9.98,0.15,0.15,0.02,0.01,0.01,143,21,,
17636,-9.99,0.13,0.16,0.02,0,0.01,127,9,,
17637,-9.96,0.14,0.14,0.02,0.01,0.01,139,23,,
17638,-9.98,0.15,0.14,0.02,0,0.01,123,9,,
17639,-9.98,0.13,0.21,0.02,0.01,0.01,136,24,,
17640,-10,0.15,0.16,0.01,0.01,0.01,127,9,,
17641,-9.99,0.13,0.13,0.02,0.01,0.01,136,25,,
17642,-9.98,0.29,0.17,0.02,0.01,0.01,123,7,,
17643,-9.99,0.15,0.15,0.02,0.01,0.01,134,24,,
17644,-9.96,0.14,0.16,0.01,0,0.01,120,10,,
17645,-10,0.13,0.2,0.02,0.01,0,142,22,,
17646,-9.95,0.15,0.15,0.02,0,0.01,123,9,,
17647,-9.98,0.12,0.16,0.02,0,0.01,141,23,,
17648,-9.96,0.14,0.15,0.02,0.01,0.01,120,9,,
17649,-9.98,0.14,0.14,0.02,0.01,0.01,135,21,,
17650,-9.98,0.16,0.13,0.02,0.01,0.01,127,8,,
17651,-9.99,0.11,0.17,0.02,0,0.01,139,20,,
17652,-10,0.14,0.15,0.02,0.01,0.01,127,9,,
17653,-9.98,0.13,0.02,0.01,0.01,0.01,142,22,,
17654,-9.99,0.15,0.15,0.01,0,0.01,130,6,,
17655,-9.97,0.14,0.16,0.02,0.01,0.01,134,20,,
17656,-9.99,0.14,0,0.02,0.01,0.01,128,7,,
17657,-9.97,0.12,0.13,0.02,0.01,0.01,133,19,,
17658,-9.97,0.15,0.18,0.02,0.01,0.01,121,6,,
17659,-9.98,0.13,0.12,0.02,0.01,0.01,131,22,,
